Date,Price,Open,High,Low,Vol.,Change %
2025-04-29,25500.0,25650.0,25700.0,25400.0,14470000.0,-0.58
2025-04-28,25650.0,25700.0,25700.0,25350.0,9760000.0,-0.19
2025-04-25,25700.0,25450.0,25700.0,25250.0,24850000.0,0.39
2025-04-24,25600.0,25700.0,25700.0,25200.0,17210000.0,0.2
2025-04-23,25550.0,25500.0,25700.0,25350.0,22230000.0,2.0
2025-04-22,25050.0,24800.0,25100.0,23400.0,47450000.0,0.4
2025-04-21,24950.0,25450.0,25450.0,24950.0,17310000.0,-1.96
2025-04-18,25450.0,25650.0,25750.0,25450.0,20770000.0,-0.2
2025-04-17,25500.0,25200.0,25600.0,24800.0,24440000.0,0.0
2025-04-16,25500.0,25900.0,26000.0,25050.0,25710000.0,-1.35
2025-04-15,25850.0,25150.0,26150.0,25050.0,50570000.0,1.97
2025-04-14,25350.0,24800.0,25750.0,24750.0,51200000.0,4.32
2025-04-11,24300.0,24200.0,24300.0,23500.0,76270000.0,6.81
2025-04-10,22750.0,22750.0,22750.0,22750.0,3060000.0,6.81
2025-04-09,21300.0,21300.0,22300.0,21300.0,77160000.0,-6.99
2025-04-08,22900.0,23500.0,24000.0,22900.0,35440000.0,-6.91
2025-04-04,24600.0,23600.0,24850.0,23600.0,73180000.0,-2.96
2025-04-03,25350.0,25800.0,26450.0,25350.0,80700000.0,-6.97
2025-04-02,27250.0,27150.0,27400.0,27100.0,16790000.0,0.93
2025-04-01,27000.0,26800.0,27050.0,26750.0,14020000.0,0.93
2025-03-31,26750.0,27050.0,27100.0,26750.0,26540000.0,-1.47
2025-03-28,27150.0,27450.0,27500.0,27100.0,17070000.0,-1.27
2025-03-27,27500.0,27700.0,27700.0,27450.0,12010000.0,-0.18
2025-03-26,27550.0,27200.0,27950.0,27150.0,43980000.0,1.29
2025-03-25,27200.0,27250.0,27400.0,27100.0,20100000.0,0.18
2025-03-24,27150.0,27150.0,27250.0,26900.0,16230000.0,0.0
2025-03-21,27150.0,27100.0,27250.0,27050.0,18910000.0,0.0
2025-03-20,27150.0,27300.0,27450.0,27050.0,25020000.0,-0.37
2025-03-19,27250.0,27600.0,27600.0,27100.0,37930000.0,-1.27
