Date,Price,Open,High,Low,Vol.,Change %
2025-04-29,26005.0,26000.0,26010.0,25960.0,0.0,0.02
2025-04-28,26000.0,26000.0,26050.0,25927.5,0.0,-0.1
2025-04-26,26025.0,26025.0,26035.0,26015.0,0.0,0.01
2025-04-25,26021.5,26050.0,26062.0,26007.5,0.0,-0.03
2025-04-24,26029.0,26032.5,26067.0,25985.0,0.0,0.13
2025-04-23,25995.0,26005.0,26018.5,25927.5,0.0,0.12
2025-04-22,25965.0,25900.0,25994.0,25890.0,0.0,0.36
2025-04-21,25871.0,25950.0,25964.5,25858.5,0.0,-0.21
2025-04-18,25925.0,25900.0,25976.5,25865.0,0.0,0.34
2025-04-17,25837.0,25852.5,25900.0,25848.0,0.0,0.03
2025-04-16,25830.0,25832.5,25905.0,25796.5,0.0,0.16
2025-04-15,25790.0,25850.0,25923.5,25808.0,0.0,-0.13
2025-04-14,25824.0,25735.0,25843.0,25705.0,0.0,0.42
2025-04-11,25715.0,25670.0,25782.5,25660.5,0.0,-0.1
2025-04-10,25740.0,25830.0,25874.5,25753.5,0.0,-0.85
2025-04-09,25960.0,26025.0,26130.0,25982.5,0.0,-0.13
2025-04-08,25995.0,25850.0,26033.0,25836.5,0.0,0.83
2025-04-07,25780.0,25780.0,25780.0,25780.0,0.0,0.0
2025-04-04,25780.0,25805.0,25810.0,25760.0,0.0,-0.04
2025-04-03,25790.0,25700.0,25837.0,25700.0,0.0,0.74
2025-04-02,25600.0,25650.0,25658.5,25612.5,0.0,-0.08
2025-04-01,25620.0,25605.0,25660.0,25545.0,0.0,0.22
2025-03-31,25565.0,25538.5,25592.5,25536.5,0.0,0.06
2025-03-28,25550.0,25600.0,25620.0,25555.0,0.0,-0.04
2025-03-27,25560.0,25580.0,25629.5,25562.5,0.0,0.02
2025-03-26,25555.0,25615.0,25635.0,25567.5,0.0,-0.18
2025-03-25,25600.0,25651.5,25664.0,25611.0,0.0,-0.08
2025-03-24,25620.0,25538.0,25657.5,25538.0,0.0,0.14
2025-03-21,25585.0,25560.0,25605.0,25545.0,0.0,0.16
2025-03-20,25545.0,25545.0,25567.5,25542.5,0.0,0.04
2025-03-19,25535.0,25530.0,25550.0,25525.0,0.0,0.1
2025-03-18,25510.0,25525.0,25550.0,25520.0,0.0,0.0
2025-03-17,25510.0,25520.0,25586.0,25475.0,0.0,0.04
2025-03-14,25500.0,25520.0,25532.5,25465.0,0.0,0.04
2025-03-13,25490.0,25475.0,25512.5,25465.0,0.0,0.18
2025-03-12,25445.0,25485.0,25515.0,25450.0,0.0,-0.02
2025-03-11,25450.0,25512.5,25520.0,25462.0,0.0,-0.29
2025-03-10,25525.0,25515.0,25568.5,25510.0,0.0,0.18
2025-03-07,25480.0,25449.0,25552.5,25435.0,0.0,-0.02
2025-03-06,25485.0,25450.0,25516.5,25430.0,0.0,-0.02
2025-03-05,25490.0,25515.0,25586.0,25495.0,0.0,-0.2
2025-03-04,25540.0,25580.0,25596.5,25555.0,0.0,-0.14
2025-03-03,25575.0,25554.0,25617.5,25548.0,0.0,0.18
2025-02-28,25530.0,25553.5,25573.0,25540.0,0.0,0.04
2025-02-27,25520.0,25551.5,25566.0,25489.5,0.0,-0.06
2025-02-26,25535.0,25482.5,25572.5,25482.5,0.0,0.06
2025-02-25,25520.0,25470.0,25537.5,25466.0,0.0,0.2
2025-02-24,25468.0,25485.0,25535.0,25468.5,0.0,-0.16
2025-02-21,25510.0,25480.0,25545.0,25475.0,0.0,0.04
2025-02-20,25500.0,25525.0,25574.5,25515.0,0.0,-0.06
2025-02-19,25515.0,25530.0,25574.5,25500.0,0.0,0.06
2025-02-18,25500.0,25510.0,25580.0,25425.0,0.0,0.12
2025-02-17,25470.0,25390.0,25482.5,25390.0,0.0,0.39
2025-02-14,25370.0,25415.0,25460.5,25385.0,0.0,-0.28
2025-02-13,25440.0,25535.0,25535.0,25400.0,0.0,-0.43
2025-02-12,25550.0,25490.0,25607.0,25490.0,0.0,0.08
2025-02-11,25530.0,25420.0,25540.0,25420.0,0.0,0.59
2025-02-10,25380.0,25375.0,25405.0,25367.5,0.0,0.36
2025-02-07,25290.0,25340.0,25342.5,25282.5,0.0,0.12
2025-02-06,25260.0,25165.0,25275.0,25147.5,0.0,0.46
2025-02-05,25145.0,25195.0,25195.0,25115.0,0.0,-0.06
2025-02-04,25160.0,25280.0,25282.5,25160.0,0.0,-0.47
2025-02-03,25280.0,25025.0,25355.0,25025.0,0.0,0.88
2025-01-31,25060.0,25060.0,25060.0,25060.0,0.0,0.0
2025-01-30,25060.0,25060.0,25060.0,25060.0,0.0,0.0
2025-01-29,25060.0,25060.0,25060.0,25060.0,0.0,0.0
2025-01-28,25060.0,25060.0,25060.0,25060.0,0.0,0.0
2025-01-27,25060.0,25060.0,25060.0,25060.0,0.0,0.0
2025-01-24,25060.0,25130.0,25142.5,25025.0,0.0,-0.08
